x_S_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
127.5508451,-49.3239024,33.6090157,2.4035157,0.0331752,15.0526555,-5.7414979
129.5438271,-50.6101692,32.087545,2.4792959,0.0430777,14.272247,-4.4366023
131.5368091,-51.7612547,30.4609508,2.5757041,0.0536513,13.6386546,-3.1584667
133.529791,-52.731281,28.7215899,2.6938846,0.0652363,13.1690305,-1.9434537
135.522773,-53.4677479,26.8705525,2.8356049,0.076126,12.8715511,-0.9259524
137.5157549,-53.9150988,24.9308878,2.997934,0.0871985,12.7273726,-0.2629979
139.5087369,-54.0240013,22.9412445,-3.1055416,0.0930465,12.6861229,-0.0074906
141.5017188,-53.7645926,20.9712282,-2.9153895,0.0932211,12.6849461,0.4932113
143.4947008,-53.1475642,19.0785793,-2.7413623,0.0816568,12.7622012,1.0714312
145.4876827,-52.2295549,17.3131983,-2.5842719,0.0768379,12.9284363,1.7696135
147.4806647,-51.0512238,15.7069126,-2.4346438,0.0718466,13.198412,2.2050477
149.4736467,-49.6561125,14.2851395,-2.2991341,0.0644621,13.5272806,3.0136903
151.4666286,-48.091501,13.0520245,-2.1811669,0.0534663,13.9642322,4.0095886
153.4596106,-46.4039551,11.9924202,-2.0849962,0.0439315,14.5252145,4.7043934
155.4525925,-44.6305129,11.0851826,-2.0047234,0.0366891,15.1569588,4.8439545
157.4455745,-42.794751,10.3096768,-1.9386292,0.029606,15.7810401,4.6012029
159.4385564,-40.9168868,9.6439328,-1.8866867,0.0226094,16.3518028,4.3752453
161.4315384,-39.0105292,9.0633602,-1.8484082,0.0158102,16.8766414,4.1431728
163.4245203,-37.086609,8.543472,-1.8230205,0.0097407,17.3590197,3.9048187
165.4175023,-35.1529094,8.0611972,-1.8088968,0.005492,17.8016862,3.6682579
167.4104843,-33.2138517,7.6007485,-1.7994939,0.0039442,18.2077339,3.4611613
169.4034662,-31.2711405,7.1560138,-1.7923878,0.0032818,18.5827242,3.2800205
171.3964482,-29.3255427,6.7240135,-1.7863192,0.0029359,18.9312356,3.1187216
173.3894301,-27.3774283,6.3034805,-1.7804893,0.0029146,19.2567597,2.9638798
175.3824121,-25.4268619,5.8946318,-1.7740922,0.0035774,19.561102,2.8116208
177.375394,-23.473403,5.4997137,-1.7661519,0.004499,19.8454965,2.6617409
179.368376,-21.5164548,5.12239,-1.755993,0.0056957,20.1110252,2.5185205
181.3613579,-19.5554133,4.7670968,-1.7438117,0.0064858,20.3590782,2.384753
183.3543399,-17.5899388,4.4371754,-1.7301633,0.0071832,20.5912021,2.2164823
185.3473219,-15.6199506,4.1354097,-1.71522,0.0078131,20.804625,1.9847923
187.3403038,-13.6454899,3.8643352,-1.69905,0.0084106,20.9938975,1.7042147
189.3332858,-11.6667761,3.6263992,-1.6816826,0.0090355,21.1550625,1.4309759
191.3262677,-9.6841331,3.424147,-1.6630063,0.0097075,21.2894455,1.2032234
193.3192497,-7.6978682,3.2602568,-1.64303,0.0103345,21.4017872,1.0128787
195.3122316,-5.7087298,3.1372965,-1.6218839,0.0107729,21.4959018,0.8534513
197.3052136,-3.7174513,3.0570015,-1.6002601,0.0109281,21.574884,0.7196809
199.2981955,-1.7248902,3.0201517,-1.5782229,0.0111982,21.6412625,0.6072729
201.2911775,0.2679401,3.0277833,-1.5555919,0.0115669,21.6971152,0.5127003
203.2841595,2.2602277,3.0813848,-1.5320378,0.0120692,21.7441582,0.4330523
205.2771414,4.2503768,3.1827607,-1.5076728,0.0123639,21.7838138,0.3659168
207.2701234,6.2376402,3.3331633,-1.4827268,0.0127186,21.8172655,0.3092878
209.2631053,8.2205858,3.5339318,-1.4568985,0.0131996,21.8455004,0.2614929
211.2560873,10.1972146,3.7867504,-1.4301028,0.0136958,21.8693435,0.2211337
213.2490692,12.1664849,4.0934646,-1.4023096,0.0141833,21.8894865,0.1870391
215.2420512,14.1263196,4.4557187,-1.3735741,0.0146543,21.9065093,0.1582266
217.2350331,16.0745628,4.8750285,-1.343867,0.0151642,21.9208995,0.1338707
219.2280151,18.0093538,5.3530427,-1.3131488,0.0156133,21.9330672,0.1132767
221.2209971,19.9283087,5.8909867,-1.2816998,0.0159486,21.9433579,0.0958601
223.213979,21.8292066,6.4895119,-1.2497936,0.0160443,21.9520626,0.0811279
225.206961,23.7100901,7.1485354,-1.2177727,0.0160304,21.9594268,0.0686646
227.1999429,25.5688498,7.8672283,-1.1859748,0.0158854,21.9656577,0.0581193
229.1929249,27.4040038,8.6445868,-1.1542058,0.0160273,21.9709303,-1.2477309
231.1859068,29.2133431,9.4801415,-1.1220676,0.0162472,21.8574557,-3.5103326
233.1788888,30.9945373,10.3737965,-1.0893786,0.0165675,21.535002,-6.3805349
235.1718707,32.7464938,11.3243036,-1.0592736,0.0131488,20.9361823,-8.3911015
237.1648527,34.4718965,12.3199507,-1.0364103,0.0108989,20.1215581,-8.3417226
239.1578347,36.1756995,13.3539604,-1.0140448,0.0115207,19.2776372,-6.5893658
241.1508166,37.8529661,14.4316838,-0.9811825,0.0229117,18.5839264,-3.7058177
243.1437986,39.4782709,15.5841714,-0.9228245,0.0345703,18.1821634,-1.6901012
245.1367805,41.020677,16.8447825,-0.845636,0.042768,17.9959546,-1.7342593
247.1297625,42.4571917,18.2269438,-0.7673366,0.0336431,17.8028562,-3.6129654
249.1227444,43.7980649,19.703518,-0.7101652,0.0250446,17.3936925,-5.5430064
251.1157264,45.0608277,21.2430236,-0.6655397,0.0196769,16.7465314,-5.7457341
